id,tenquan,diachi,rating
97,Trái Cây Sạch Subo - Trái Cây - Tân Chánh Hiệp 10,"340/57 Tân Chánh Hiệp 10, P. Tân Chánh Hiệp, Quận 12, TP. HCM",4.5
98,Xôi Cua & Xôi Ghẹ Phạm Văn Chí,"376/48 Nguyễn Đình Chiểu, P. 4, Quận 3, TP. HCM",4.5
99,Ăn Vặt Gia Phát - Cá Viên Chiên & Gà Ủ Muối,"170/10 Dương Quảng Hàm, P. 5, Gò Vấp, TP. HCM",4.5
100,ĐẠI PHÚC FOOD - THỰC PHẨM  - THỐNG NHẤT,"220/42 Thống Nhất, P. 10, Gò Vấp, TP. HCM",4.5
101,Ông Tré Foods - Đặc Sản Tré Nem Chả - Đường Số 85,"5/1 Đường Số 85, P. Tân Quy, Quận 7, TP. HCM",4.5
102,Trái Cây Cắt Sẵn Vui Vẻ Fruit - Điện Biên Phủ,"511a Điện Biên Phủ, P. 3, Quận 3, TP. HCM",4.5
103,Xinh Healthy Food - Shop Online,"35/90A Xô Viết Nghệ Tĩnh, P. 17, Bình Thạnh, TP. HCM",4.5
104,茶餐厅 - Cha Chaan Teng - Ẩm Thực HongKong,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",4.5
105,Tiệm bánh Little Croissant - Lê Văn Duyệt ,"104 Lê Văn Duyệt, P.1, Bình Thạnh, TP. HCM",4.5
106,"Ry Đôris Cofffee House - Cà Phê Muối, Trà Trái Cây & Trà sữa - Chung Cư Him Lam Lô C1 267B Đường Ba Tơ","Chung Cư Him Lam C1 Đường 267 Ba Tơ, P. 7, Quận 8, TP. HCM",4.5
107,Mì Trộn Đĩa Bay - Phổ Quang,"95/1 Phổ Quang, P. 2, Tân Bình, TP. HCM",4.5
108,Gà Mơ - Gà Rán & Bánh Gạo - Phạm Hùng,"13/20a Phạm Hùng, P. 4, Quận 8, TP. HCM",4.5
109,Bún Thịt Xào - Há Cảo Ngọc Ngọc,"100/6 Bà Huyện Thanh Quan, P. 9, Quận 3, TP. HCM",4.5
110,Kaya Toast Nướng - Cá Viên 咖椰吐司-鱼丸 & ChaChaanTeng,"28 Phan Phú Tiên, P. 10, Quận 5, TP. HCM",4.5
111,Newdays Japanese Matcha Cafe - Trần Huy Liệu,"194 Trần Huy Liệu, P. 15, Phú Nhuận, TP. HCM",4.5
112,"Tiệm Bánh Thanh Tùng - Bánh Kem Bắp, Bánh Sinh Nhật & Bánh Ngọt - 148 Tân Hoà Đông","148 Tân Hoà Đông, P. 14, Quận 6, TP. HCM",4.5
113,Gà Nướng - Mì Xào & Bò Kho Mẹ Nấu - Trung Lân,"57/3 Trung Lân, X. Bà Điểm, Hóc Môn, TP. HCM",4.5
114,Phở Duy Phương Nam - Đặng Thùy Trâm,"96/88 Đặng Thùy Trâm, P. 13, Bình Thạnh, TP. HCM",4.5
115,Oops! - Trà Sữa & Tráng Miệng - Nguyễn Huệ,"Tầng 3 Chung Cư 42 Nguyễn Huệ, P. Bến Nghé, Quận 1, TP. HCM",4.5
116,Súp Cua Mộc - Kha Vạn Cân,"1007 Kha Vạn Cân, P. Linh Tây, Thành Phố Thủ Đức, TP. HCM",4.5
117,Trung Nguyên E-Coffee - 150 Nguyễn Thiện Thuật,"150-152 Nguyễn Thiện Thuật, P.3, Quận 3, TP. HCM",4.5
118,Cô Ba Chề - Cơm Tấm Long Xuyên - Nguyễn Thái Bình,"99 Nguyễn Thái Bình, P. 4, Tân Bình, TP. HCM",4.5
119,Quán Ngon Trảng Bàng - Chính Gốc - Không Chi Nhánh,"68A Nguyễn Thị Thập, P. Bình Thuận, Quận 7, TP. HCM",4.5
120,Cơm Chay Diệu Phương - Nguyễn Gia Trí,"29/3A Nguyễn Gia Trí, P. 25, Bình Thạnh, TP. HCM",4.5
121,Cơm Tấm Sườn Que - 547 Sư Vạn Hạnh,"547 Sư Vạn Hạnh, P. 12, Quận 10, TP. HCM",4.5
122,"Quán Quay Ngon - Cơm, Hủ Tiếu & Mì Vịt Tiềm - Khu Phố Hưng Vượng 2","S11-1 Khu Phố Hưng Vượng 2, P. Tân Phong, Quận 7, TP. HCM",4.5
123,Bún Chả Hà Nội 1982 - Bùi Đình Túy,"55 Bùi Đình Túy, P. 24, Bình Thạnh, TP. HCM",4.5
124,Cô Diệu - Bánh Canh Cua - Nguyễn Thị Thập,"389 Nguyễn Thị Thập, P. Tân Phong, Quận 7, TP. HCM",4.5
125,Cơm Gà Hải Nam - Nguyễn Tri Phương,"379 Nguyễn Tri Phương, P. 5, Quận 10, TP. HCM",4.5
126,Cô Tuyến - Bún Riêu & Bò Kho,"Hẻm 242/5 Tôn Đản, P. 8, Quận 4, TP. HCM",4.5
127,Anh Cá Viên - Quốc Lộ 13,"Số 518 Quốc Lộ 13, P. Hiệp Bình Phước, Thành Phố Thủ Đức, TP. HCM",4.5
128,Mì Trộn & Mì Tương Đen Bố Già - Trần Quý,"148 Trần Quý, P. 6, Quận 11, TP. HCM",4.5
129,Phở Chay & Cafe - The Tching,"646A Nguyễn Trãi, P. 11, Quận 5, TP. HCM",4.5
130,"Cơm Mì Bún Hến, Món Huế 3 Mẹt - Lê Hoàng Phái","21/4 Lê Hoàng Phái, P.17, Gò Vấp, TP. HCM",4.5
131,Bánh Canh Cua Jangji - Grand Park,"A5 Zone 1 Box Of Wonder, Vinhomes Grand Park, P. Long Bình, Thành Phố Thủ Đức, TP. HCM",0
